buef|buef1|buef|BOS||NOUN||Masc,Sing,Acc|g,p,v
buef|buef2|buef|BOS||NOUN||Masc,Plur,Nom|g,p,v
buef|buef3|buef|BOS||NOUN||Masc,Plur,Acc|g,p,v
bues|bues2|buef|BOS||NOUN||Masc,Plur,Nom|g,p,v
bues|bues3|buef|BOS||NOUN||Masc,Plur,Acc|g,p,v
c|c|cent|CENTUM||NUM||Card|g,p,v
ca|ca|suen|SUUS||DET||Poss,Fem,Sing|g,p,v
car|car|car|QUARE||SCONJ|||g,p,v
ce|ce|ce1|HOC||PRON||Dem,Neut,Sing,Nom|g,p,v
ce|ce1|ce1|HOC||PRON||Dem,Neut,Sing,Acc|g,p,v
ce|ce2|se|SI||SCONJ|||g,p,v
ce_qe|ce_qe|ce1|HOC||PRON|SConj |Dem,Neut,Sing,MWEs|g,p,v
ce_q’|ce_q’|ce1|HOC||PRON|SConj |Dem,Neut,Sing,MWEs|g,p,v
cele|cele|cel|ILLE||DET||Dem,Fem,Sing|g,p,v
celeement|celeement|celeement|CELARE||ADV||Man|g,p,v
celer|celer|celer|CELARE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
